account,seed,run_name,epochs,PE_1h,RMSE_45min,PE_6h,RMSE_6h,PE_12h,RMSE_12h,upper_bound
20,55,wider_delay_3.5h_seed55,40,0.9860990730439594,0.09310629218816757,0.9023463067631627,0.24677492678165436,0.8573529082853315,0.2982524633407593,3.5
20,55,wider_delay_2.0h_seed55,40,0.9859422371701172,0.09363005310297012,0.9015787999616964,0.24774280190467834,0.8565009761766694,0.2991417646408081,2.0
20,55,wider_delay_3.0h_seed55,40,0.9863644755373472,0.09221319854259491,0.8994157007998211,0.2504504323005676,0.8432568101045426,0.3126417100429535,3.0
20,55,wider_delay_4.0h_seed55,40,0.9862934478545917,0.09245305508375168,0.9016334597315705,0.24767398834228516,0.8638734715524125,0.29135599732398987,4.0
21,56,wider_delay_1.5h_seed56,40,0.9857003801444821,0.0944320484995842,0.8961066401478643,0.25453680753707886,0.8374883796486879,0.3183425962924957,1.5
21,56,wider_delay_2.5h_seed56,40,0.985893863375497,0.09379100799560547,0.9045014966862059,0.24403661489486694,0.8588412237028188,0.29669246077537537,2.5
21,56,wider_delay_3.5h_seed56,40,0.9864765308168365,0.09183351695537567,0.9010868859278115,0.24836114048957825,0.8596583640535337,0.29583245515823364,3.5
21,56,wider_delay_2.0h_seed56,40,0.986098878897644,0.0931069478392601,0.8969047086304973,0.2535572946071625,0.8520683723997444,0.30372676253318787,2.0
21,56,wider_delay_3.0h_seed56,40,0.9863295008253529,0.09233138710260391,0.900859441547682,0.24864652752876282,0.8562166324103971,0.2994379699230194,3.0
21,56,wider_delay_4.0h_seed56,40,0.9862382087475741,0.09263917058706284,0.9035359482791808,0.24526719748973846,0.8532409573929487,0.30252063274383545,4.0
21,52,wider_delay_4.0h_seed52,40,0.9858609944043077,0.09390021860599518,0.8948003134640923,0.2561320662498474,0.8482538838691785,0.307617723941803,4.0
